АВЕНСИС,AMIGO,2,ГЕРМАНИЯ,"белый, черный","2,40",42,"$23,4957","1 762,18"
АЖУР,AMIGO,1,КИТАЙ,"белый, св. серый, св.бежевый, св. коричневый, св. желтый, желтый, оранжевый, персиковый, красный, коралл, 
т.голубой, мята, бирюзовый, салатовый","2,20",50,"$9,7054","727,90"
АКВАРЕЛЬ,AMIGO,3,ГЕРМАНИЯ,белый,"2,40",45,"$36,8788","2 765,91"
АЛЛЕЯ,AMIGO,2,КИТАЙ,"белый, бежевый, т.коричневая","2,50",50,"$22,9761","1 723,21"
АЛЬМЕРИЯ,AMIGO,1,КИТАЙ,"белый, бежевый, черный ","2,40",50,"$12,5385","940,39"
АЛЬФА,AMIGO,Е,КИТАЙ,"белый, серый, бежевый","2,00",35,"$5,4628","409,71"
АЛЬФА,AMIGO,Е,КИТАЙ,"терракота, т.коричнеый, желтый, ярко-желтый, розовый, малина, персик, св.оранжевый, оранжевый, голубой, синий, фисташковый, зеленый, бирюзовый, чёрный, т. Серый ( new), красный (new)","2,00",35,"$6,0770","455,78"
АЛЬФА,AMIGO,Е,КИТАЙ,"белый, серый, бежевый, персиковый","2,50",35,"$9,3214","699,10"
АЛЬФА ALU BLACK-OUT,AMIGO,2,КИТАЙ,"белый, серый, т.серый, св.бежевый, бежевый, св.коричневый, т.коричневый","2,50",40,"$14,6359","1 097,70"
АЛЬФА BLACK-OUT,AMIGO,2,КИТАЙ,"белый, бежевый, т.бежевый, персиковый, серый, синий, св.коричневый, голубой, зеленый, чёрный","2,50",35,"$20,0893","1 506,69"
АНЖУ,AMIGO,3,ГЕРМАНИЯ,"св.серый, св.бежевый, лиловый","2,00",42,"$36,7526","2 756,44"
АНТАРЕС BLACK-OUT,AMIGO,4,ГЕРМАНИЯ,"белый, св. бежевый, св. серый, серый","3,00",20,"$53,1686","3 987,65"
АРАБИКА,AMIGO,3,ГЕРМАНИЯ,"платина, золото","2,40",42,"$36,8788","2 765,91"
АРИАДНА,AMIGO,3,ГЕРМАНИЯ,белая,"1,95",42,"$22,7654","1 707,40"
БАБОЧКИ,AMIGO,3,ГЕРМАНИЯ,розовый,"1,95",42,"$24,2095","1 815,71"
БАМБУК,AMIGO,1,КИТАЙ,магнолия,"2,40",50,"$13,5219","1 014,14"
БЛЮЗ,AMIGO,2,ТУРЦИЯ,белый,"2,00",30,"$18,2207","1 366,55"
БОЛГАРСКАЯ РОЗА,AMIGO,2,КИТАЙ,розовый,"2,00",40,"$15,3119","1 148,40"
БОСТОН,AMIGO,3,ТУРЦИЯ,"магнолия, св. бежевый, бежевый, св.коричневый","2,50",30,"$31,0510","2 328,83"
БУХАРА BLACK-OUT,AMIGO,3,ТУРЦИЯ,"б/о золото, б/о серебро","2,10",30,"$35,2181","2 641,36"
БЬЯНКА,AMIGO,2,ГЕРМАНИЯ,белый,"2,40",42,"$21,2077","1 590,58"
ВАЛЬС,AMIGO,2,ТУРЦИЯ,"белый, серый, магнолия, бежевый","2,80",40,"$27,0327","2 027,46"
ВЕНЕЦИЯ,AMIGO,3,ГЕРМАНИЯ,"белый, серый","2,40",42,"$40,7756","3 058,17"
ВЕРОНА,AMIGO,3,ГЕРМАНИЯ,бежевый ,"2,35",40,"$35,2244","2 641,83"
ВИНДЗОР,AMIGO,3,ГЕРМАНИЯ,"белый, т.бежевый","2,00",42,"$28,3089","2 123,17"
ВИНТАЖ,AMIGO,2,ТУРЦИЯ,белый,"2,00",30,"$18,2207","1 366,55"
ГАЛА Б/О ,AMIGO,3,ГЕРМАНИЯ,"белый, серый, св. бежевый, бежевый","2,30",30,"$24,7509","1 856,32"
ГАРМОНИЯ,AMIGO,1,ТАЙВАНЬ,"красный, кремовый,терракотовый","1,80",45,"$9,7107","728,30"
ГЛИТТЕР,AMIGO,3,ГЕРМАНИЯ,"белый, серый, графит, бежевый","2,40",42,"$39,0798","2 930,99"
ГЛИТТЕР BLACK-OUT,AMIGO,4,ГЕРМАНИЯ,"белый, серый, бежевый","2,40",30,"$48,6016","3 645,12"
ГУАНА,AMIGO,2,ТУРЦИЯ,"бежевый, св. серый, магнолия","2,00",30,"$20,2220","1 516,65"
ДАЛЛАС,AMIGO,3,ГЕРМАНИЯ,"белый, серый","2,40",42,"$33,8592","2 539,44"
ДЖУНГЛИ,AMIGO,3,ГЕРМАНИЯ,белый,"2,40",42,"$33,2974","2 497,30"
ИМПАЛА,AMIGO,3,ГЕРМАНИЯ,"св.бежевый, бежевый, св.коричневый","2,40",42,"$40,1824","3 013,68"
КАЛИПСО,AMIGO,3,ГЕРМАНИЯ,"белый, слоновая кость, бежевый, коричневый","2,00",42,"$34,5356","2 590,17"
КАМЕЛИЯ,AMIGO,2,КИТАЙ,"персик, розовый, св.бежевый, св.серый","2,80",50,"$20,8921","1 566,91"
КАРОЛИНА,AMIGO,3,ГЕРМАНИЯ,"белаый, бежевый, серый","2,40",42,"$41,0764","3 080,73"
КИТАЙСКАЯ РОЗА,AMIGO,2,КИТАЙ,коричневый,"2,00",40,"$14,5876","1 094,07"
КРИС ,AMIGO,Е,КИТАЙ,"белый, св. серый, серый, магнолия, св. бежевый, бежевый, т. Бежевый","2,20",30,"$8,3945","629,59"
КРИС BLACK-OUT,AMIGO,2,КИТАЙ,"белый, св. серый, магнолия,бежевый,","2,20",30,"$14,2964","1 072,23"
ЛЁН,AMIGO,1,КИТАЙ,"бежевый, белый,т.бежевый","2,00",60,"$11,0079","825,60"
ЛЁН BLACK-OUT,AMIGO,2,КИТАЙ,"бежевый, т.бежевый","2,00",50,"$20,7942","1 559,56"
ЛИАНА,AMIGO,3,ТУРЦИЯ,,"2,10",33,"$26,3544","1 976,58"
ЛИМА ПЕРЛА,AMIGO,3,ГЕРМАНИЯ,"белый, серый, св.бежевый, т.бежевый","2,40",42,"$32,6640","2 449,80"
ЛИНА,AMIGO,Е,КИТАЙ,"бежевый, магнолия, св. бежевый, св. серый, т.cерый ","2,20",30,"$8,4378","632,83"
ЛИНА BLACK-OUT,AMIGO,1,КИТАЙ,"бежевый, магнолия, св. бежевый, св. серый, т.cерый ","2,20",30,"$12,9935","974,51"
МАНИЛА,AMIGO,2,ТАЙВАНЬ,"белый, св.серый, св.бежевый, св.коричневый, коричневый","2,00",30,"$19,4743","1 460,58"
МАРЦИПАН,AMIGO,2,ТУРЦИЯ,"белый, св.серый, магнолия","2,80",45,"$25,8189","1 936,42"
МЕМФИС,AMIGO,2,ТУРЦИЯ,"белый, св. бежевый, св. коричневый ","3,00",30,"$24,3904","1 829,28"
НЕВАДА,AMIGO,2,КИТАЙ,"белый, бежевый, св.коричневый","2,00",40,"$15,4371","1 157,78"
НИКА,AMIGO,1,КИТАЙ,"бежевый, белый, св. бежевый, св. серый","2,20",30,"$11,7945","884,59"
НОВА,AMIGO,3,ШВЕЦИЯ,"белый, серый, бежевый, св.коричневый, коричневый, синий, зеленый","2,00",30,"$28,7370","2 155,28"
ОМЕГА,AMIGO,1,ТУРЦИЯ,"белый, серый, магнолия","2,00",30,"$8,9610","672,08"
ОМЕГА,AMIGO,1,ТУРЦИЯ,"белый, черный, бежевый, серый","3,00",30,"$15,5633","1 167,25"
