ID,Type,Name,Published,Visibility in catalog,Description,Tax status,Tax class,In stock?,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
1999,variable,АВЕНСИС,1,visible,Рулонные жалюзи АВЕНСИС,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ec17b2b3761274fb5e7ff78a61df09b3.jpg,,цвет,"белый, черный",1,0,белый,Ширина рулона (м),2.4,1,0,Страна,ГЕРМАНИЯ,1,0,price,1762.18,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2000,variation,АВЕНСИС - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ec17b2b3761274fb5e7ff78a61df09b3.jpg,id:1999,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2002,variation,АВЕНСИС - черный,1,visible,1908,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/8d9c8e2b7a2e2071dc0787e25d372e2d.jpg,id:1999,цвет,черный,,0,,,,,,,,,,,,,,,,,,,,,
2003,variable,АЖУР,1,visible,Рулонные жалюзи АЖУР,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/49568c1bb0dd2bc08fdb53412cd1529e.jpg,,цвет,"белый, св. серый, св. бежевый, св. коричневый, св. желтый, желтый, оранжевый, персиковый, красный, коралл, т. голубой, мята, бирюзовый, салатовый",1,0,белый,Ширина рулона (м),2.2,1,0,Страна,КИТАЙ,1,0,price,727.90,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2004,variation,АЖУР - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/49568c1bb0dd2bc08fdb53412cd1529e.jpg,id:2003,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2006,variation,АЖУР - св. серый,1,visible,1608,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/e2f896ca0d750c33d4ef357e96ebaf13.jpg,id:2003,цвет,св. серый,,0,,,,,,,,,,,,,,,,,,,,,
2008,variation,АЖУР - св. бежевый,1,visible,2261,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/337b9d5ace81ad6fd09b95fa2b1f3f50.jpg,id:2003,цвет,св. бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2010,variation,АЖУР - св. коричневый,1,visible,2868,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/acdf39bcf3ce6d51b2918cf317be5794.jpg,id:2003,цвет,св. коричневый,,0,,,,,,,,,,,,,,,,,,,,,
2012,variation,АЖУР - св. желтый,1,visible,3209,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/a05c5309fe4ab17b0f042a7c47524a0d.jpg,id:2003,цвет,св. желтый,,0,,,,,,,,,,,,,,,,,,,,,
2014,variation,АЖУР - желтый,1,visible,3465,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/791c5d9877c4aa343f73585040b4f562.jpg,id:2003,цвет,желтый,,0,,,,,,,,,,,,,,,,,,,,,
2016,variation,АЖУР - оранжевый,1,visible,3499,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/7dcb5d4ecce019108dd7ec1e596f63c4.jpg,id:2003,цвет,оранжевый,,0,,,,,,,,,,,,,,,,,,,,,
2018,variation,АЖУР - персиковый,1,visible,4063,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/be7beb1719e4f431db2f1cabfede61d7.jpg,id:2003,цвет,персиковый,,0,,,,,,,,,,,,,,,,,,,,,
2020,variation,АЖУР - красный,1,visible,4075,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/97bdaa1ff38fe16d26e34b9434634998.jpg,id:2003,цвет,красный,,0,,,,,,,,,,,,,,,,,,,,,
2022,variation,АЖУР - коралл,1,visible,4524,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/6bd42c1bd024b6ca27fe4c8cd73a47b0.jpg,id:2003,цвет,коралл,,0,,,,,,,,,,,,,,,,,,,,,
2024,variation,АЖУР - т. голубой,1,visible,5252,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/d1e6f52d665712f98600244283dc6dd3.jpg,id:2003,цвет,т. голубой,,0,,,,,,,,,,,,,,,,,,,,,
2026,variation,АЖУР - мята,1,visible,5540,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/d7055a86fadbc1e75c1888255ce425df.jpg,id:2003,цвет,мята,,0,,,,,,,,,,,,,,,,,,,,,
2028,variation,АЖУР - бирюзовый,1,visible,5612,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/c36a7da0c8c23dec83e987fdfcbfdba0.jpg,id:2003,цвет,бирюзовый,,0,,,,,,,,,,,,,,,,,,,,,
2030,variation,АЖУР - салатовый,1,visible,5853,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/68ffe18498112d189fda12026f8e044b.jpg,id:2003,цвет,салатовый,,0,,,,,,,,,,,,,,,,,,,,,
2031,simple,АЛИСА BLACK-OUT,1,visible,Рулонные жалюзи АЛИСА BLACK-OUT,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/fb6b3e0561ddbf6fddfc000637aed7ac.jpg,,цвет,белый,1,0,белый,Ширина рулона (м),2.5,1,0,Страна,ГОЛЛАНДИЯ,1,0,price,4895.44,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2033,variable,АЛЛЕЯ,1,visible,Рулонные жалюзи АЛЛЕЯ,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/4eaf11436b06e9a0fecdcb9985dad62f.jpg,,цвет,"белый, бежевый, темно-коричневый",1,0,белый,Ширина рулона (м),2.5,1,0,Страна,КИТАЙ,1,0,price,1723.21,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
