name,code,color,height,img_name
зебра АВАНГАРД,2870,коричневый,280,25f362d6b7694699b55c0083f69794db.jpg
зебра АВАНГАРД,3499,оранжевый,280,356fc0e779e2296f970c9b80e0c9cd8a.jpg
зебра АДАЖИО,0225,белый,280,6e196a869498a8fa6e1f38f1dc60534d.jpg
зебра АДАЖИО,1852,серый,280,a0406e8038aa5d5d82941f96277683e6.jpg
зебра АДАЖИО,2261,св. бежевый,280,67b00de28fbe048f1e8634415e27ef71.jpg
зебра АДАЖИО,2870,коричневый,280,0e7b795a08ee0659a8f3669f217c8dc4.jpg
зебра АЙЛЕНД,0225,белоснежный,280,a944cddcce82d9243471a5a8797466d1.jpg
зебра АРАБЕСКА,2259,магнолия,270,cf6423eb8ca3d8839987a21418b5ef11.png
зебра АРАБЕСКА,2261,св. бежевый,270,c4be64397bafb1584c6d48dc1d14c764.png
зебра АРАБЕСКА,2406,бежевый,270,0353f54e82d8cf4edcbfb9e13847e5d1.png
зебра БАБОЧКИ,4096,розовый,260,25e01369590998b17de2b596553ce75f.png
зебра БЕРГАМА,2259,магнолия,280,651ad3b8fda013250a8c074bb4dcd277.jpg
зебра БЕРГАМА,2406,бежевый,280,1f906d5423d031b905d7040aee9766d1.jpg
зебра БЕРГАМА,2870,коричневый,280,5a88176ad8bb5da23119cfeefb571e80.jpg
зебра БЕРГАМА,4284,лиловый,280,7df36d0a97299a628ade568bb098b450.jpg
зебра ВАЛЕНСИЯ,0225,белый,280,a2f70cdd62e84efc3449e9cf2ba2463d.png
зебра ВАЛЕНСИЯ,1852,серый,280,dafc5264bcf8d983832aa873a2f8e56e.png
зебра ВАЛЕНСИЯ,2261,св.бежевый,280,25ddcb26d67be1171c0a943baed104af.png
зебра ВАЛЕНСИЯ,2871,т.коричневый,280,c381f3224b3320c4b945a7fa89d94d76.png
зебра ГЛОРИЯ БИО BO,0225,белый,280,da542031f152d098cd258a47871e2800.jpg
зебра ГЛОРИЯ БИО BO,1608,св. серый,280,457044cb9f75c3e7aedcd96c00c40924.jpg
зебра ГЛОРИЯ БИО BO,2259,магнолия,280,a38496819793e50e5bac72c54df45b69.jpg
зебра ГЛОРИЯ БИО BO,2868,св. коричневый,280,4ae395342c39795e17b641b672ed9647.jpg
зебра ДАЙКИРИ,2870,шоколадный,280,d25f62d63265d1dc625424b66858527c.jpg
зебра ДАЙКИРИ,3144,ванильный,280,4e384239a461496b27b5eb809cb4bae0.jpg
зебра ДАЙКИРИ,4858,вишневый,280,02a1bc957c5f7e27bf1e1dd6d9475995.jpg
зебра ДАЙМОНД,0225,белый,280,ce97119dd9860c128212c825b4cc2318.jpg
зебра ДАЙМОНД,1608,св. серый,280,346dcf068d8bd3f4df240dcc177e9f8b.jpg
зебра ДАЙМОНД,1852,серый,280,8d90fdf55f51ee22ddc161bf4f673f77.jpg
зебра ДАЙМОНД,2261,св. бежевый,280,7e2c80e09ccfcce6d5a493506a9ca069.jpg
зебра ДАКОТА,2406,бежевый,280,028131fc6cdf54f0d04020cdfc42b905.jpg
зебра ДАКОТА,2868,св. коричневый,280,f19b7e39ad877527feccd9cb277c52df.jpg
зебра ДАКОТА,2870,коричневый,280,f0d626743604e3e214736918a758d181.jpg
зебра ДАКОТА,5173,голубой,280,0fce55ebc2e0062d7ffa8a56c7d69cf3.jpg
зебра ДАМАСК,0225,белый,270,071fcd7acc94b561e567544972f8ccfe.png
зебра ДАМАСК,2406,бежевый,270,617efb00ff93e5cce750e0ccea99a630.png
зебра ДАМАСК,2870,коричневый,270,513f837f7c042f5ffa3714872257eac0.png
зебра КРУЖЕВО,1852,серый,280,496bbe2516d10c21db14129adf7b61cb.jpg
зебра ЛЕН,2261,светло-бежевый,240,d62b39e918711c25d1014259ffe97c8d.jpg
зебра ЛОФТ ВО,0225,белый,280,9c37fe2fb6b228f02a0843fab4d3daf0.png
зебра ЛОФТ ВО,2406,бежевый,280,ae23fce281ab11c53c87789ce56b7cdf.png
зебра ЛОФТ ВО,2870,коричневый,280,c126cc0e135e2ee0434e9fc9f2e7465f.png
зебра ЛУКСОР ТРИО,3466,золото,280,14f5a91c69269e8cffe6eb8d02c5d74a.jpg
зебра ЛУКСОР ТРИО,4063,персиковый,280,5bff039fcd52d0ec03c071a63bd24574.jpg
зебра ЛУКСОР УНО,2260,слоновая кость,280,65e689695e87a158c05f65b4cae4e5e0.jpg
зебра МЕТАЛЛИК,1608,св.серый,280,ae8d59fedcd2e242ce3c392aadf970de.jpg
зебра МЕТАЛЛИК,1881,темно-серый,280,c3220effeba125471e8266ce74bc1aca.jpg
зебра МОНТАНА,1852,серый,280,b872239165526cc4e3401e56400547f1.jpg
зебра МОНТАНА,1908,графит,280,81c7a63d0d0236116c89bbf7bc047207.jpg
зебра МОНТАНА,2261,св. бежевый,280,5a5321c606bb5d99086f84afab86ed52.jpg
зебра МОНТАНА,2406,бежевый,280,247c41e94da1def1e8ddc6b2233e274f.jpg
зебра МОНТАНА,2868,св. коричневый,280,028f54d3cdf01a68320762022c48b057.jpg
зебра МОНТАНА,2870,коричневый,280,880e9b52c86db31a10be50102daa5c51.jpg
зебра МОНТАНА,4096,розовый,280,458843734ccb99daf770a9e2ebb1213e.jpg
зебра МОНТАНА,4858,бордо,280,2e2be9231fe6c0781dff482b5c80b2f4.jpg
зебра МОНТАНА,7122,золото,280,2d6a76398dff1d015d692643274af2a6.jpg
зебра ОБЛАКА,4096,розовый,280,00c206e01b5e85c77603159bb8e25c8e.jpg
зебра ПАЛАС,2261,св.бежевый,280,093e0cfc8138738765e7f8b2929e049f.jpg
зебра ПАЛАС,2875,золотой каштан,280,5e66bec9b8a8fcf083cb24db05b30134.jpg
зебра ПАЛАС,4227,розовое золото,280,592d6e681e898598d9c826ee97c92f35.jpg
зебра ПАРМА,0225,белый,280,1b5e2c49ef7619341a1ddccf9b5f8f87.jpg
зебра ПАРМА,2259,магнолия,280,0915a908189c416ac0633b80016f661a.jpg
зебра ПЕРСИЯ,0225,белый,270,0dfeeac5b1a25c0565546251d0924f65.jpg
зебра ПЕРСИЯ,2406,бежевый,270,31e1912cadb349981725e3a4dd41cd54.jpg
зебра ПЕРСИЯ,2870,коричневый,270,edc69190a1556a9197fb1ea353d0eeb9.jpg
зебра САХАРА,1852,серый,210,cb315f7ea484171ffc5c3a1a76a1efaa.jpg
зебра САХАРА,2259,магнолия,210,b646a6ae7dfc6d5347bbcde8f580fd22.jpg
зебра САХАРА,2261,св. бежевый,210,61f8f18ebfbb800b21d3eff6b2db734d.jpg
зебра САХАРА,2406,бежевый,210,3330901e81e0bafc7c3c6c107de4f249.jpg
